"BLOOD" "HIPPOC" "CORTEX" "HYPOTH" "SKM-GN" "SKM-VL" "HEART" "KIDNEY" "ADRNL" "COLON" "SPLEEN" "LUNG" "SMLINT" "LIVER" "WAT-SC"
"71" 0.577776 0.475534 0.431089 0.443214 0.486462 0.463723 0.507792 0.459501 0.537403 0.482623 0.492136 0.581015 0.505769 0.459218 0.44496
"72" 0.444567 0.538505 0.562152 0.537541 0.504366 0.532973 0.518092 0.478985 0.553978 0.526696 0.598538 0.537881 0.510504 0.454041 0.43049
"73" 0.573879 0.555101 0.486092 0.489035 0.527512 0.423084 0.535664 0.514603 0.522601 0.463235 0.507693 0.61302 0.573744 0.531174 0.465849
"74" 0.482893 0.645381 0.506227 0.508828 0.495413 0.441791 0.603703 0.46176 0.578977 0.478569 0.594901 0.6666 0.427682 0.435863 0.465081
"75" 0.542899 0.630205 0.514582 0.47604 0.540854 0.475907 0.579076 0.502361 0.616253 0.494554 0.619275 0.647309 0.506947 0.44457 0.461797
"76" 0.541675 0.613816 0.497284 0.455303 0.561372 0.489267 0.506399 0.440396 0.599467 0.457369 0.630954 0.700407 0.559614 0.459943 0.46563
"77" 0.5812 0.52976 0.473096 0.4629 0.568812 0.502647 0.477918 0.415075 0.583641 0.464661 0.62375 0.689898 0.585539 0.474197 0.464779
"78" 0.463512 0.580237 0.5916 0.490882 0.448454 0.556407 0.507793 0.471038 0.604055 0.518823 0.644966 0.592802 0.546265 0.425795 0.424479
"79" 0.549928 0.617443 0.707543 0.638462 0.56603 0.508192 0.534328 0.458314 0.587717 0.46363 0.588609 0.667194 0.582795 0.504977 0.454658
"80" 0.449636 0.594994 0.557231 0.426202 0.455875 0.491433 0.568272 0.462303 0.591368 0.543697 0.624962 0.620915 0.618272 0.47113 0.442126
"81" 0.513755 0.560773 0.649176 0.524044 0.515218 0.471199 0.561025 0.47102 0.622918 0.560263 0.646931 0.727709 0.620302 0.512068 0.473535
"82" 0.494798 0.666145 0.578522 0.513874 0.518939 0.610704 0.502469 0.466008 0.657519 0.454802 0.640662 0.66418 0.614898 0.467642 0.444581
"83" 0.529786 0.485512 0.550793 0.541877 0.540762 0.437884 0.579452 0.498831 0.542008 0.599742 0.584893 0.585969 0.49967 0.494879 0.451461
"84" 0.509074 0.502424 0.511295 0.510116 0.58269 0.537401 0.568297 0.523145 0.550099 0.516737 0.618413 0.621864 0.546366 0.47536 0.43937
"85" 0.523046 0.648248 0.656379 0.578523 0.508526 0.536494 0.542577 0.514891 0.541427 0.592322 0.61648 0.660162 0.570818 0.52958 0.449178
"86" 0.481741 0.543921 0.492913 0.421184 0.552585 0.469884 0.518166 0.424419 0.651695 0.444579 0.623178 0.62946 0.565675 0.405556 0.44996
