Discovered in,Entrez,Symbol,Group,Model pvalue,AICc diff,Coefficients,R2(if applicable),subgroups
"acute,muscle",2620,GAS2,training;avg_age,0.000891949,-5.105817137,"b0:0.34(0.029),trainingresistance:-0.28(0.00048),avg_age:-0.011(0.024)",16.61692697,"acute,muscle,training;avg_age,1"
"acute,muscle",120534,ARL14EP,time;training,7.02E-08,-5.312241786,"b0:-0.038(0.18),time.L:0.0037(0.94),time.Q:-0.14(7.1e-05),trainingresistance:-0.22(4.6e-05)",92.57076786,"acute,muscle,time;training,1"
"acute,muscle",91614,DEPDC7,training,1.59E-05,-9.395523085,"b0:0.028(0.32),trainingresistance:-0.24(1.6e-05)",72.05111123,"acute,muscle,training,3"
"acute,muscle",80829,ZFP91,training,0.000161177,-5.159704003,"b0:-0.036(0.26),trainingresistance:0.16(0.00016)",NA,"acute,muscle,training,2"
"acute,muscle",6809,STX3,training,0.000154997,-5.733918571,"b0:0.068(0.035),trainingresistance:0.21(0.00015)",64.58999,"acute,muscle,training,2"
"acute,muscle",10647,SCGB1D2,training,6.33E-07,-13.3049751,"b0:0.064(0.068),trainingresistance:-0.35(6.3e-07)",100,"acute,muscle,training,3"
"acute,muscle",10992,SF3B2,time;training,6.79E-09,-6.683908864,"b0:-0.045(0.25),time.L:0.14(0.037),time.Q:0.16(0.00033),trainingresistance:0.21(0.00078)",83.61349978,"acute,muscle,time;training,1"
"acute,muscle",89,ACTN3,time,8.24E-06,-6.480263413,"b0:-0.36(3e-09),time.L:-0.55(1.6e-06),time.Q:-0.14(0.12)",82.96784936,"acute,muscle,time,2"
"acute,muscle",57571,CARNS1,time,0.000374998,-5.77459144,"b0:-0.27(0.0099),time.L:-0.61(0.00085),time.Q:-0.36(0.0076)",NA,"acute,muscle,time,2"
"acute,muscle",84957,RELT,base_model,0.00021512,-6.746378318,b0:0.13(0.00022),NA,"acute,muscle,base_model,2"
"acute,muscle",51585,PCF11,training,0.000517217,-5.811164683,"b0:0.1(0.12),trainingresistance:-0.34(0.00052)",40.92962559,"acute,muscle,training,3"
"acute,muscle",24145,PANX1,time;training,6.26E-06,-10.87199695,"b0:0.34(0.036),time.L:0.56(0.047),time.Q:0.43(0.035),trainingresistance:0.87(0.00061)",56.23406907,"acute,muscle,time;training,1"
"acute,muscle",55216,NKAPD1,training,4.25E-06,-8.456262182,"b0:-0.089(0.0011),trainingresistance:0.19(4.2e-06)",78.82230824,"acute,muscle,training,1"
"acute,muscle",6343,SCT,time,2.84E-05,-5.360545148,"b0:-0.053(0.077),time.L:-0.21(0.0011),time.Q:-0.065(0.077)",100,"acute,muscle,time,2"
"acute,muscle",1850,DUSP8,training;avg_age,0.000291083,-7.085632932,"b0:-0.9(0.00059),trainingresistance:0.38(0.0025),avg_age:0.029(0.00025)",41.23626551,"acute,muscle,training;avg_age,1"
"acute,muscle",4676,NAP1L4,avg_age,2.99E-06,-7.447494663,"b0:-0.24(1.9e-06),avg_age:0.0083(3e-06)",91.74163019,"acute,muscle,avg_age,1"
"acute,muscle",4004,LMO1,time;training,1.52E-05,-5.577001031,"b0:-0.075(0.11),time.L:-0.18(0.027),time.Q:-0.18(0.0014),trainingresistance:-0.2(0.0065)",74.86391118,"acute,muscle,time;training,1"
"acute,muscle",6289,SAA2,time,1.82E-08,-18.4523866,"b0:0.22(3.9e-09),time.L:0.45(1.4e-08),time.Q:0.24(3.3e-07)",99.95906565,"acute,muscle,time,1"
"acute,muscle",85456,TNKS1BP1,training,4.70E-06,-6.171333836,"b0:0.1(0.00017),trainingresistance:0.2(4.7e-06)",95.62864694,"acute,muscle,training,2"
"acute,muscle",54948,MRPL16,training,2.62E-05,-5.609428321,"b0:-0.046(0.27),trainingresistance:-0.2(2.6e-05)",NA,"acute,muscle,training,3"
"acute,muscle",79081,LBHD1,training,9.34E-06,-5.569260675,"b0:-0.074(0.38),trainingresistance:0.36(9.3e-06)",NA,
"acute,muscle",23642,SNHG1,time,7.60E-09,-7.028104694,"b0:0.025(0.48),time.L:0.22(0.00077),time.Q:-0.31(4.3e-08)",87.34879689,"acute,muscle,time,1"
"acute,muscle",79053,ALG8,time,8.79E-05,-5.345511369,"b0:0.07(0.042),time.L:0.2(0.0036),time.Q:0.12(0.016)",59.0505391,"acute,muscle,time,1"
"acute,muscle",120103,SLC36A4,training,8.96E-05,-7.370430902,"b0:0.0096(0.79),trainingresistance:0.24(9e-05)",60.42998013,"acute,muscle,training,2"
"acute,muscle",79101,TAF1D,training,1.33E-05,-5.022978951,"b0:0.019(0.84),trainingresistance:0.33(1.3e-05)",NA,"acute,muscle,training,2"
"acute,muscle",5519,PPP2R1B,avg_age,0.000920603,-5.762126688,"b0:-0.33(0.016),avg_age:0.016(0.00092)",38.55476407,"acute,muscle,avg_age,1"
"acute,muscle",6330,SCN4B,time;training,7.67E-05,-5.504069433,"b0:-0.066(0.46),time.L:-0.29(0.058),time.Q:-0.31(0.0056),trainingresistance:-0.31(0.023)",54.82105116,"acute,muscle,time;training,1"
"acute,muscle",6327,SCN2B,time;training,2.66E-11,-17.14866909,"b0:0.23(0.0035),time.L:-0.16(0.26),time.Q:-0.26(0.0089),trainingresistance:-0.75(1e-09)",79.97743646,"acute,muscle,time;training,1"
"acute,muscle",57494,RIMKLB,training,0.000204831,-7.37874658,"b0:0.021(0.74),trainingresistance:0.38(2e-04)",44.61254755,"acute,muscle,training,2"
"acute,muscle",23710,GABARAPL1,time,1.96E-18,-9.524825223,"b0:0.46(1.7e-06),time.L:-0.54(0.0036),time.Q:-0.49(1.6e-05)",NA,"acute,muscle,time,3"
"acute,muscle",1027,CDKN1B,training,9.32E-07,-11.13286347,"b0:0.0025(0.95),trainingresistance:-0.28(9.3e-07)",69.17000934,"acute,muscle,training,3"
"acute,muscle",80763,SPX,training,0.000333702,-5.288789637,"b0:0.011(0.78),trainingresistance:-0.26(0.00033)",66.89183225,"acute,muscle,training,3"
"acute,muscle",8082,SSPN,time,0.000135249,-8.14495669,"b0:-0.17(0.00062),time.L:-0.26(8.5e-05),time.Q:-0.16(1e-04)",NA,"acute,muscle,time,2"
"acute,muscle",55297,CCDC91,time,1.59E-11,-9.200217913,"b0:0.089(1.8e-10),time.L:0.21(2.2e-12),time.Q:0.11(5.7e-10)",99.9957619,"acute,muscle,time,1"
"acute,muscle",160622,GRASP,training,0.000252696,-21.10054306,"b0:0.26(0.25),trainingresistance:-0.28(0.00025)",NA,"acute,muscle,training,4"
"acute,muscle",3164,NR4A1,time,2.52E-10,-20.0580533,"b0:0.82(1.4e-11),time.L:-1.6(4.6e-11),time.Q:0.62(0.00046)",73.74782135,"acute,muscle,time,4"
"acute,muscle",196410,METTL7B,training,0.000449399,-8.054638085,"b0:0.2(0.027),trainingresistance:0.54(0.00045)",47.730138,"acute,muscle,training,2"
"acute,muscle",6821,SUOX,base_model,2.69E-06,-7.740861838,b0:-0.19(2.7e-06),NA,"acute,muscle,base_model,1"
"acute,muscle",93058,COQ10A,time,0.000748182,-11.2539596,"b0:-0.32(0.0035),time.L:-0.29(0.036),time.Q:-0.11(0.16)",NA,"acute,muscle,time,2"
"acute,muscle",117177,RAB3IP,training,5.66E-05,-8.752343405,"b0:0.066(0.089),trainingresistance:0.25(5.7e-05)",61.85397231,"acute,muscle,training,2"
"acute,muscle",23390,ZDHHC17,training,0.000417512,-6.506056991,"b0:-0.11(0.0012),trainingresistance:0.19(0.00042)",47.89440979,"acute,muscle,training,1"
"acute,muscle",2004,ELK3,training;avg_age,5.39E-06,-8.205730649,"b0:0.34(0.012),trainingresistance:0.16(0.016),avg_age:-0.014(0.0019)",68.79295789,"acute,muscle,training;avg_age,1 and longterm,muscle,base_model,2"
"acute,muscle",317,APAF1,time,2.14E-06,-8.059157183,"b0:0.039(0.17),time.L:0.14(0.0086),time.Q:0.17(4.6e-05)",66.44044618,"acute,muscle,time,1 and acute,blood,base_model,2"
"acute,muscle",11137,PWP1,training,1.27E-08,-12.13555552,"b0:-0.071(0.013),trainingresistance:0.24(1.3e-08)",80.21314485,"acute,muscle,training,2"
